GMfas1			EXT		
t	x	y	t	x	y
8.731211317	31.09082134	8.945363923	8.731211317	20.05147788	29.88390321
8.786472149	31.14309424	8.951322178	8.786472149	20.05063794	29.88374094
8.84173298	31.17781959	8.947965473	8.84173298	20.05261755	29.883446
8.896993811	31.18647476	8.948806285	8.896993811	20.05158843	29.88332644
8.952254642	31.17582418	8.945692013	8.952254642	20.05294445	29.88272149
9.007515473	31.16588792	8.947922626	9.007515473	20.05080584	29.88300073
9.062776304	31.15546394	8.949193204	9.062776304	20.04854173	29.88353968
9.118037135	31.15894511	8.95353044	9.118037135	20.04905736	29.883918
9.173297966	31.16700574	8.955171434	9.173297966	20.04611648	29.88392785
9.228558798	31.19553504	8.94880501	9.228558798	20.04520129	29.88476436
9.283819629	31.21434361	8.945234988	9.283819629	20.04794238	29.88452257
9.33908046	31.26011588	8.940053089	9.33908046	20.04987267	29.88434046
9.394341291	31.34833142	8.933883416	9.394341291	20.0514354	29.88424416
9.449602122	31.40434489	8.93085052	9.449602122	20.05345641	29.88438319
9.504862953	31.40706857	8.930051194	9.504862953	20.05166003	29.88430824
9.560123784	31.42505047	8.928368791	9.560123784	20.05286486	29.88402118
9.615384615	31.43678784	8.930413907	9.615384615	20.05392966	29.88388235
9.670645447	31.45030903	8.936522087	9.670645447	20.05265028	29.88422927
9.725906278	31.53153703	8.933025101	9.725906278	20.05281696	29.88396753
9.781167109	31.55887304	8.939792741	9.781167109	20.05376157	29.88424689
9.83642794	31.61271174	8.939500367	9.83642794	20.05415252	29.88532199
9.891688771	31.66226839	8.938360523	9.891688771	20.04875119	29.88548805
9.946949602	31.65392934	8.938378648	9.946949602	20.04135255	29.88584511
10.00221043	31.67480925	8.93891343	10.00221043	20.04407701	29.88558998
10.05747126	31.74438008	8.936628692	10.05747126	20.05259958	29.88553662
10.1127321	31.81740004	8.939186839	10.1127321	20.05071272	29.88553055
10.16799293	31.83066297	8.938151022	10.16799293	20.04899126	29.88537212
10.22325376	31.83281713	8.935525659	10.22325376	20.04989285	29.88517371
10.27851459	31.87686378	8.932225162	10.27851459	20.04992011	29.88506292
10.33377542	31.93611457	8.939631908	10.33377542	20.0516241	29.88485988
10.38903625	31.95209001	8.939815683	10.38903625	20.04898024	29.88486317
10.44429708	31.97166608	8.939498625	10.44429708	20.04996294	29.88457811
10.49955791	31.989587	8.939873532	10.49955791	20.04950853	29.88448482
10.55481874	32.01720151	8.942055519	10.55481874	20.04792321	29.8842494
10.61007958	32.03546605	8.947111617	10.61007958	20.05043986	29.88451081
10.66534041	32.07514892	8.950879862	10.66534041	20.05110711	29.88417589
10.72060124	32.1015029	8.941097149	10.72060124	20.0506989	29.88483585
