SOLfas			SOLext		
t	x	y	t	x	y
4.8784961030	13.8465323500	10.2746281900	4.8784961030	40.5336294800	16.9703947300
4.8968363140	13.8387844400	10.2765652200	4.8968363140	40.5323620400	16.9711395800
4.9151765250	13.8258014400	10.2765326400	4.9151765250	40.5320827300	16.9711916600
4.9335167350	13.8230958400	10.2754610000	4.9335167350	40.5338132300	16.9703424000
4.9518569460	13.8201634700	10.2740555200	4.9518569460	40.5348720800	16.9703822200
4.9701971570	13.8392158300	10.2732995800	4.9701971570	40.5331438000	16.9710767300
4.9885373680	13.8656917500	10.2725625300	4.9885373680	40.5331203800	16.9709525200
5.0068775790	13.8763674600	10.2723760700	5.0068775790	40.5358428200	16.9706031500
5.0252177900	13.8755612100	10.2718942200	5.0252177900	40.5350597500	16.9708352500
5.0435580010	13.9087092000	10.2728616500	5.0435580010	40.5334709700	16.9707468100
5.0618982120	13.9331471100	10.2722092700	5.0618982120	40.5352699500	16.9697813800
5.0802384230	13.8908396000	10.2706636900	5.0802384230	40.5372890400	16.9699496400
5.0985786340	13.8614281600	10.2698329400	5.0985786340	40.5370145600	16.9707077300
5.1169188450	13.8596548600	10.2696505500	5.1169188450	40.5338881400	16.9703372800
5.1352590550	13.8850804300	10.2697297000	5.1352590550	40.5366460800	16.9709967000
5.1535992660	13.8823313300	10.2707587600	5.1535992660	40.5364020700	16.9709083900
5.1719394770	13.8596424500	10.2707460500	5.1719394770	40.5355707900	16.9711505100
5.1902796880	13.8139870600	10.2703424900	5.1902796880	40.5357755900	16.9700916000
5.2086198990	13.8139909900	10.2699996700	5.2086198990	40.5343038800	16.9705329100
5.2269601100	13.8523442400	10.2701459600	5.2269601100	40.5377422700	16.9707964800
5.2453003210	13.8601226000	10.2691827700	5.2453003210	40.5394794100	16.9699339400
5.2636405320	13.8546758400	10.2685944300	5.2636405320	40.5398488600	16.9693827600
5.2819807430	13.8494027700	10.2685235800	5.2819807430	40.5411418200	16.9695216900
5.3003209540	13.8468921300	10.2684988000	5.3003209540	40.5408239900	16.9701651800
5.3186611650	13.8464841700	10.2704700900	5.3186611650	40.5413117000	16.9694436500
5.3370013760	13.8141987400	10.2703467000	5.3370013760	40.5444928300	16.9696494100
5.3553415860	13.7838486800	10.2697032400	5.3553415860	40.5401631800	16.9689989600
5.3736817970	13.7925512300	10.2704826400	5.3736817970	40.5397301000	16.9697328800
5.3920220080	13.8112652700	10.2743142100	5.3920220080	40.5405584100	16.9692619300
5.4103622190	13.7624138400	10.2792545300	5.4103622190	40.5470006200	16.9689510700
5.4287024300	13.7265850800	10.2747947600	5.4287024300	40.5456595500	16.9690919200
5.4470426410	13.7337904700	10.2727421000	5.4470426410	40.5462014500	16.9694811200
5.4653828520	13.7695003500	10.2739053900	5.4653828520	40.5418948600	16.9686420700
5.4837230630	13.7976913500	10.2732897300	5.4837230630	40.5428087800	16.9693572600
5.5020632740	13.7968742300	10.2711173900	5.5020632740	40.5443576500	16.9694095300
5.5204034850	13.7858582200	10.2706524400	5.5204034850	40.5414874600	16.9687117300
5.5387436960	13.7467147700	10.2699993400	5.5387436960	40.5426642200	16.9689051400
5.5570839060	13.7447749800	10.2706121900	5.5570839060	40.5422629100	16.9689818100
5.5754241170	13.7934083000	10.2698994600	5.5754241170	40.5454678100	16.9686397600
5.5937643280	13.8486879500	10.2695056000	5.5937643280	40.5449492100	16.9685705300
5.6121045390	13.8573916500	10.2688052200	5.6121045390	40.5456062300	16.9684390100
5.6304447500	13.8888777800	10.2662763600	5.6304447500	40.5419682500	16.9694977000
5.6487849610	13.9608380400	10.2658181700	5.6487849610	40.5470985100	16.9685317900
5.6671251720	14.0077836900	10.2672369000	5.6671251720	40.5491271100	16.9689403300
5.6854653830	14.0217840500	10.2671157300	5.6854653830	40.5497188700	16.9690822700
5.7038055940	14.0666912500	10.2675308800	5.7038055940	40.5512681200	16.9694086500
5.7221458050	14.1528715600	10.2686628900	5.7221458050	40.5521701600	16.9688101600
5.7404860160	14.2406205300	10.2678811400	5.7404860160	40.5526072900	16.9686848000
5.7588262270	14.3134878300	10.2650436900	5.7588262270	40.5555393400	16.9691112400
