CALbump			CALext2		
t	x	y	t	x	y
8.584202683	17.75568878	7.844307253	8.584202683	0.254410355	15.05554691
8.643815201	17.74788543	7.844426001	8.643815201	0.2542146541	15.05563381
8.70342772	17.73336616	7.844643022	8.70342772	0.2523066898	15.05542331
8.763040238	17.72723528	7.844558199	8.763040238	0.2529392773	15.05545849
8.822652757	17.71955528	7.845820643	8.822652757	0.251952181	15.05573523
8.882265276	17.71392606	7.847827907	8.882265276	0.2532878083	15.05566963
8.941877794	17.71652666	7.84931631	8.941877794	0.2522564751	15.05551345
9.001490313	17.71119269	7.848704068	9.001490313	0.2514791312	15.05561621
9.061102832	17.70718547	7.852387643	9.061102832	0.2508818196	15.05559287
9.12071535	17.69688525	7.854910602	9.12071535	0.2515111083	15.05580032
9.180327869	17.68508872	7.851885607	9.180327869	0.2522631815	15.05563441
9.239940387	17.70653445	7.849608585	9.239940387	0.2543165197	15.05557336
9.299552906	17.71548923	7.848245249	9.299552906	0.2524989732	15.05563963
9.359165425	17.71667348	7.846496321	9.359165425	0.251911522	15.0554843
9.418777943	17.71226037	7.851146387	9.418777943	0.252366738	15.05571593
9.478390462	17.71001196	7.854249183	9.478390462	0.2518805023	15.05560092
9.538002981	17.71146693	7.854892432	9.538002981	0.2492933772	15.05572181
9.597615499	17.71739075	7.852000818	9.597615499	0.2495788346	15.05563654
9.657228018	17.71215319	7.850517661	9.657228018	0.2511709577	15.05566017
9.716840537	17.72293109	7.847329375	9.716840537	0.2504252528	15.05563143
9.776453055	17.71730296	7.847745392	9.776453055	0.2498244359	15.05553232
9.836065574	17.71944221	7.847519665	9.836065574	0.2504104292	15.05586096
9.895678092	17.71600162	7.850666944	9.895678092	0.2462060209	15.05563601
9.955290611	17.72037943	7.84720384	9.955290611	0.2470885864	15.05578464
10.01490313	17.70594191	7.84887234	10.01490313	0.2484989269	15.05587274
10.07451565	17.68504437	7.850093075	10.07451565	0.2475325953	15.05608778
10.13412817	17.6922369	7.847643528	10.13412817	0.2481750607	15.05618122
10.19374069	17.70275376	7.847939843	10.19374069	0.2478025209	15.05601612
10.2533532	17.72313298	7.844899133	10.2533532	0.2477607275	15.05584521
10.31296572	17.72796288	7.841014445	10.31296572	0.2494242311	15.05572553
10.37257824	17.72883219	7.841145535	10.37257824	0.2521323605	15.05566709
10.43219076	17.7310211	7.84221438	10.43219076	0.2504939965	15.05579446
10.49180328	17.72695799	7.844630401	10.49180328	0.2501313857	15.05589016
10.5514158	17.72572914	7.844734694	10.5514158	0.2494326046	15.05582206
10.61102832	17.72755146	7.845791833	10.61102832	0.2491323153	15.05605135
10.67064083	17.72374133	7.850540596	10.67064083	0.250172008	15.05597059
10.73025335	17.72808953	7.851036605	10.73025335	0.2496158838	15.05592462
10.78986587	17.73172005	7.847623643	10.78986587	0.2487273351	15.05581437
10.84947839	17.74180908	7.848280923	10.84947839	0.2501774363	15.0559871
10.90909091	17.76959308	7.852634155	10.90909091	0.2486887062	15.05581494
10.96870343	17.79527742	7.852180918	10.96870343	0.2474100954	15.05564029
11.02831595	17.77010787	7.847675617	11.02831595	0.2495004704	15.05589543
11.08792846	17.76769656	7.847742221	11.08792846	0.2491010177	15.05587423
11.14754098	17.75214527	7.847828396	11.14754098	0.2503234051	15.05602267
11.2071535	17.70506371	7.849113749	11.2071535	0.2477930374	15.05616649
11.26676602	17.69757378	7.850173348	11.26676602	0.2469901423	15.05603504
11.32637854	17.6908318	7.850395199	11.32637854	0.2466618333	15.05633969
11.38599106	17.68404176	7.846936446	11.38599106	0.2455322421	15.05621201
11.44560358	17.70407486	7.849066163	11.44560358	0.2478783305	15.05626476
11.5052161	17.70219962	7.849977968	11.5052161	0.2481693809	15.05633835
11.56482861	17.69299364	7.847166999	11.56482861	0.2503075044	15.05647704
11.62444113	17.69386437	7.845241022	11.62444113	0.250428064	15.05621324
11.68405365	17.70043133	7.849255717	11.68405365	0.2507056323	15.05640222
11.74366617	17.70964529	7.848843629	11.74366617	0.2509815446	15.05635216
11.80327869	17.71350359	7.847648168	11.80327869	0.2512531483	15.05627073
11.86289121	17.72483197	7.848984251	11.86289121	0.2515901964	15.05628357
11.92250373	17.73107065	7.851463676	11.92250373	0.2524027635	15.0564472
11.98211624	17.72874104	7.848717547	11.98211624	0.2513832448	15.05612867
12.04172876	17.72537828	7.847984559	12.04172876	0.2515587332	15.05639154
12.10134128	17.72794357	7.848213623	12.10134128	0.251947672	15.05636361
12.1609538	17.73742412	7.848387029	12.1609538	0.2531412578	15.05615818
12.22056632	17.74104814	7.848922456	12.22056632	0.2518448443	15.05607041
12.28017884	17.73473383	7.851120743	12.28017884	0.2515373105	15.05613328
12.33979136	17.73131387	7.852713847	12.33979136	0.2525193219	15.05614112
12.39940387	17.7347578	7.853638586	12.39940387	0.2502987498	15.05609375
12.45901639	17.74612357	7.854078351	12.45901639	0.2527542796	15.05595973
12.51862891	17.77662641	7.851618064	12.51862891	0.2513527469	15.0559765
12.57824143	17.84100816	7.846017069	12.57824143	0.251593086	15.05567925
12.63785395	17.8650174	7.846942431	12.63785395	0.2528054528	15.05592252
12.69746647	17.87941074	7.846246486	12.69746647	0.2537476364	15.05587468
12.75707899	17.87260853	7.847515185	12.75707899	0.2552601119	15.05592787
12.81669151	17.87567519	7.847735707	12.81669151	0.256447871	15.05586769
12.87630402	17.8819536	7.850812491	12.87630402	0.254208097	15.05589011
12.93591654	17.86138476	7.849033864	12.93591654	0.2556415872	15.05597261
12.99552906	17.84023612	7.848543531	12.99552906	0.2554292535	15.05584507
13.05514158	17.84098473	7.850071011	13.05514158	0.2545186277	15.05633766
13.1147541	17.83653368	7.849849783	13.1147541	0.2547712659	15.05605336
13.17436662	17.84918938	7.849030416	13.17436662	0.2550004802	15.05611659
13.23397914	17.86031454	7.848274742	13.23397914	0.253412685	15.05628783
13.29359165	17.87262991	7.84835194	13.29359165	0.2545240284	15.05650821
13.35320417	17.87854536	7.848421872	13.35320417	0.2540878172	15.05623827
13.41281669	17.88598798	7.846164335	13.41281669	0.2571089725	15.05645238
13.47242921	17.88572786	7.845976654	13.47242921	0.255412347	15.05637669
13.53204173	17.87970076	7.847415827	13.53204173	0.2554003441	15.05668683
13.59165425	17.86992423	7.846982649	13.59165425	0.2553017804	15.05641487
13.65126677	17.87433453	7.846363834	13.65126677	0.2557415702	15.05644261
13.71087928	17.8753427	7.845789271	13.71087928	0.2544009494	15.05642563
13.7704918	17.87724371	7.845098047	13.7704918	0.2555151746	15.05639428
13.83010432	17.881729	7.844305164	13.83010432	0.2561033943	15.05647702
13.88971684	17.88150052	7.841409119	13.88971684	0.2568698716	15.05598119
13.94932936	17.87119069	7.826767057	13.94932936	0.2570015685	15.05597995
14.00894188	17.86505626	7.829604947	14.00894188	0.2577161014	15.05591305
14.0685544	17.87178754	7.831713087	14.0685544	0.2559474983	15.05597184
14.12816692	17.87623551	7.825083792	14.12816692	0.257501599	15.05616601
14.18777943	17.88115255	7.818224267	14.18777943	0.2593154407	15.05620417
14.24739195	17.86004858	7.810778175	14.24739195	0.2579657906	15.05614564
14.30700447	17.84687465	7.831586545	14.30700447	0.2568719012	15.05625695
14.36661699	17.84719319	7.839046107	14.36661699	0.2548682075	15.05611167
14.42622951	17.84409482	7.847184112	14.42622951	0.2560845312	15.05623752
14.48584203	17.85535084	7.849332999	14.48584203	0.2557789178	15.0561902
14.54545455	17.8490811	7.85455529	14.54545455	0.2563788676	15.05620654
14.60506706	17.86159561	7.850497057	14.60506706	0.2560910166	15.05625693
14.66467958	17.85650537	7.846011227	14.66467958	0.2566847075	15.05618248
14.7242921	17.86298802	7.843339235	14.7242921	0.2549167797	15.05632013
14.78390462	17.86590942	7.835025802	14.78390462	0.2552571662	15.05622893
14.84351714	17.86497045	7.841120565	14.84351714	0.2548100206	15.0564034
14.90312966	17.86711925	7.835627758	14.90312966	0.25404654	15.05617432
14.96274218	17.86277142	7.841938738	14.96274218	0.2550671628	15.05635789
15.02235469	17.86170098	7.83960683	15.02235469	0.2553328392	15.05632376
15.08196721	17.85955528	7.840729188	15.08196721	0.2563227914	15.05643636
15.14157973	17.85945205	7.829212569	15.14157973	0.2572859413	15.05681374
15.20119225	17.83004471	7.800530907	15.20119225	0.2658403696	15.05666922
15.26080477	17.85353115	7.788476771	15.26080477	0.2719913044	15.05636996
15.32041729	17.85074532	7.788547409	15.32041729	0.2746869475	15.05634132
15.38002981	17.86135615	7.779857403	15.38002981	0.27569582	15.0569116
15.43964232	17.86145787	7.779118162	15.43964232	0.2721616179	15.05625502
15.49925484	17.84419176	7.783579451	15.49925484	0.26869882	15.05628536
15.55886736	17.84212768	7.785235611	15.55886736	0.2666704932	15.05666942
15.61847988	17.83826831	7.789513917	15.61847988	0.2652726762	15.05628249
15.6780924	17.8390706	7.78593747	15.6780924	0.2619285354	15.05642975
15.73770492	17.85700065	7.755246682	15.73770492	0.3136966802	15.0542105
