SOLfas			SOLext		
t	x	y	t	x	y
3.8872159870	10.9844775300	10.9276215200	3.8872159870	38.8627798600	16.9870327800
3.9054658270	10.9875789700	10.9286139400	3.9054658270	38.8599252500	16.9871030100
3.9237156670	10.9632632800	10.9295460700	3.9237156670	38.8585600400	16.9866290100
3.9419655080	10.9316689300	10.9299970100	3.9419655080	38.8547701300	16.9867377100
3.9602153480	10.9098710500	10.9301473200	3.9602153480	38.8603725900	16.9864481800
3.9784651880	10.9059137900	10.9294059400	3.9784651880	38.8580814100	16.9867018500
3.9967150290	10.9025491600	10.9287730500	3.9967150290	38.8609770100	16.9871319500
4.0149648690	10.8823933300	10.9284276700	4.0149648690	38.8665567300	16.9865694600
4.0332147090	10.8624955600	10.9298613300	4.0332147090	38.8661130400	16.9867510600
4.0514645500	10.8607468100	10.9299873300	4.0514645500	38.8680425400	16.9863481500
4.0697143900	10.8688401700	10.9295396700	4.0697143900	38.8680092500	16.9862833600
4.0879642300	10.8756257400	10.9282052400	4.0879642300	38.8697598200	16.9853497400
4.1062140710	10.8754562500	10.9286867500	4.1062140710	38.8666877500	16.9856410600
4.1244639110	10.8682524900	10.9288644700	4.1244639110	38.8685094200	16.9851412300
4.1427137510	10.8643297600	10.9284418100	4.1427137510	38.8641182100	16.9835417300
4.1609635920	10.8666010500	10.9281819400	4.1609635920	38.8641357000	16.9831522400
4.1792134320	10.8678178000	10.9278816900	4.1792134320	38.8704927900	16.9830815900
4.1974632720	10.8704069200	10.9262953500	4.1974632720	38.8661278100	16.9840054300
4.2157131130	10.8729089500	10.9261859400	4.2157131130	38.8681506700	16.9838464000
4.2339629530	10.8685876500	10.9265567500	4.2339629530	38.8662686700	16.9845062800
4.2522127930	10.8674988800	10.9274018600	4.2522127930	38.8649539300	16.9842131000
4.2704626330	10.8701447200	10.9271457800	4.2704626330	38.8646076200	16.9849656300
4.2887124740	10.8730827400	10.9269485400	4.2887124740	38.8694147000	16.9852007500
4.3069623140	10.8748603000	10.9266928600	4.3069623140	38.8682700600	16.9849405600
4.3252121540	10.8788657700	10.9270371600	4.3252121540	38.8667268300	16.9856142600
4.3434619950	10.8779989500	10.9266841500	4.3434619950	38.8699924300	16.9858117000
