SOLfasSLIDES			SOLext		
t	x	y	t	x	y
2.099903367	9.62248737	5.947780861	2.099903367	26.86734465	13.53050511
2.118486583	9.600391302	5.94922046	2.118486583	26.86742219	13.53299057
2.137069799	9.530630326	5.956943704	2.137069799	26.86452288	13.53733442
2.155653014	9.432659948	5.957290012	2.155653014	26.85620934	13.53715722
2.17423623	9.389557038	5.957652062	2.17423623	26.85092755	13.53847394
2.192819445	9.312279115	5.955334882	2.192819445	26.83396127	13.5390551
2.211402661	9.227430237	5.962161338	2.211402661	26.82389834	13.53905349
2.229985877	9.158014683	5.969211569	2.229985877	26.81839639	13.53921048
2.248569092	9.189644234	5.978653936	2.248569092	26.81775244	13.53846448
2.267152308	9.116100355	5.990871411	2.267152308	26.8115317	13.53753067
