GMfas			GMext		
t	x	y	t	x	y
6.8011527380	0.5817814492	2.2857710540	6.8011527380	45.3996895400	11.6636768500
6.8242074930	0.4990174138	2.3084685960	6.8242074930	45.4000280200	11.6646332400
6.8472622480	0.3981163607	2.3080315920	6.8472622480	45.4015050900	11.6646669800
6.8703170030	0.4103326312	2.2931627110	6.8703170030	45.4024704400	11.6641363800
6.8933717580	0.5302253248	2.2757352880	6.8933717580	45.4010274500	11.6637027800
6.9164265130	0.6016406361	2.2677297080	6.9164265130	45.4006041500	11.6635378200
6.9394812680	0.6554300644	2.2728800830	6.9394812680	45.4012119700	11.6644734000
6.9625360230	0.4221595470	2.2888032160	6.9625360230	45.4014104900	11.6644483000
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
