SOLfas2MM			SOLextMM		
t	x	y	t	x	y
5.896462123	-10.18726523	8.035413048	5.896462123	23.83076136	13.95575858
5.921447132	-10.22198119	8.037035315	5.921447132	23.83930555	13.91726586
5.946432141	-10.09502681	8.02872289	5.946432141	23.87097653	13.92407449
5.97141715	-10.06868508	8.031103198	5.97141715	23.88619536	13.91606274
5.996402159	-10.08179734	8.023938856	5.996402159	23.90061545	13.89502586
6.021387168	-10.08096756	8.02072184	6.021387168	23.90240793	13.88001525
6.046372177	-10.0765312	8.026063945	6.046372177	23.9126346	13.87274839
6.071357186	-10.05059148	8.02918669	6.071357186	23.91448833	13.88576902
6.096342195	-10.01147132	8.035194407	6.096342195	23.93101185	13.90513234
6.121327204	-9.975279786	8.028980602	6.121327204	23.94474023	13.90377009
6.146312213	-10.00609224	8.022602635	6.146312213	23.97052903	13.86905468
6.171297222	-9.977237325	8.031368145	6.171297222	23.96669481	13.86167368
6.196282231	-9.918698294	8.036854866	6.196282231	23.96858015	13.87856649
6.22126724	-9.897599597	8.034716639	6.22126724	23.95188302	13.91114269
6.246252249	-9.862672538	8.036907702	6.246252249	23.95719151	13.90601703
6.271237258	-9.837001274	8.036423113	6.271237258	23.99151298	13.89459409
6.296222267	-9.841172803	8.027214839	6.296222267	24.05809544	13.84254016
6.321207276	-9.921310393	7.985698614	6.321207276	24.01448511	13.82673861
6.346192285	-9.911837824	7.979775215	6.346192285	24.02907329	13.82575043
6.371177294	-9.810188146	8.02317937	6.371177294	24.0207736	13.86215269
6.396162303	-9.809346688	8.029944961	6.396162303	24.02439489	13.89175109
6.421147312	-9.824395691	8.028537243	6.421147312	24.03541657	13.87999746
6.446132321	-9.841010013	8.027270058	6.446132321	24.03763059	13.86441035
6.47111733	-9.85012012	8.005724166	6.47111733	24.02768471	13.85419849
6.496102339	-9.866367352	8.019997894	6.496102339	24.03709995	13.84692297
6.521087348	-9.855275648	8.025810986	6.521087348	24.0385261	13.83345881
6.546072357	-9.872316652	8.023801856	6.546072357	24.03323975	13.83200585
6.571057366	-9.943849778	8.001600588	6.571057366	24.02431465	13.83153487
