SOLfas2BEST			SOLext					
t	x	y	t	x	y			
5.346963773	-9.119393166	10.456059	5.346963773	25.65306425	13.83933157			
5.370518679	-9.196809519	10.44632282	5.370518679	25.64925939	13.83077148			
5.394073586	-9.374408215	10.44946055	5.394073586	25.60435621	13.82833377			
5.417628492	-9.53686296	10.4462716	5.417628492	25.54409655	13.84520619			
5.441183399	-9.725325722	10.4432727	5.441183399	25.51065719	13.8441709			
5.464738305	-10.02330572	10.45029316	5.464738305	25.39782095	13.83499206			
5.488293211	-10.21679933	10.43797202	5.488293211	25.40407464	13.82685009			
5.511848118	-10.58340425	10.44798436	5.511848118	25.27411058	13.78353381			
5.535403024	-10.61609201	10.45977338	5.535403024	25.26135426	13.77241838			
5.558957931	-10.76772808	10.48425295	5.558957931	25.20539653	13.77433925			
5.582512837	-10.99225037	10.47862153	5.582512837	25.18609096	13.77616367			
5.606067744	-11.17236042	10.48837782	5.606067744	25.18366951	13.76653083			
5.62962265	-11.22115757	10.49141978	5.62962265	25.1679728	13.7580485			
5.653177557	-11.43762587	10.49708197	5.653177557	25.081066	13.72741516			
5.676732463	-11.85144162	10.49290217	5.676732463	25.03589221	13.750093			
5.70028737	-12.01674348	10.49980854	5.70028737	25.00461238	13.72658066			
5.723842276	-12.06862804	10.50686045	5.723842276	24.91440559	13.7182955			
5.747397183	-12.29333811	10.52594872	5.747397183	24.8161009	13.6753464			
5.770952089	-12.43368416	10.52098991	5.770952089	24.73806153	13.72642102			
5.794506996	-12.45805038	10.52224808	5.794506996	24.7183844	13.74587718			
5.818061902	-12.54948586	10.51394248	5.818061902	24.56858651	13.71139282			
5.841616809	-12.69383719	10.50651712	5.841616809	24.47579977	13.6989346			
5.865171715	-12.80670196	10.50362822	5.865171715	24.47657126	13.68212702			
5.888726622	-12.92377801	10.50484053	5.888726622	24.44254384	13.68052169			
5.912281528	-13.0325753	10.49163574	5.912281528	24.39413539	13.69317384			
5.935836435	-13.08516078	10.48470941	5.935836435	24.33561719	13.69935248			
5.959391341	-13.24056254	10.48744485	5.959391341	24.36316341	13.74040921			
5.982946248	-13.33284216	10.50034465	5.982946248	24.25823459	13.71206753			
6.006501154	-13.45945149	10.48447152	6.006501154	24.21456744	13.71246531			
6.030056061	-13.47968175	10.49242778	6.030056061	24.19697002	13.71659832			
6.053610967	-13.59550077	10.47495375	6.053610967	24.19551312	13.7121814			
6.077165874	-13.67278299	10.45311927	6.077165874	24.21216844	13.73248999			
6.10072078	-13.79788089	10.36882509	6.10072078	24.10504242	13.72515421			
6.124275687	-13.80718116	10.35769385	6.124275687	24.07344648	13.75168841			
6.147830593	-13.97302038	10.29971019	6.147830593	23.93614271	13.7638993			
6.1713855	-13.96729375	10.27971381	6.1713855	23.87413916	13.77645932			
6.194940406	-13.97749624	10.25740942	6.194940406	23.80376028	13.77029561			
6.218495313	-14.04521065	10.27017053	6.218495313	23.77391569	13.77070192			
6.242050219	-14.05243199	10.27897817	6.242050219	23.74201753	13.77276808			
6.265605126	-14.06890232	10.27953096	6.265605126	23.7365671	13.76275604			
6.289160032	-14.09247954	10.28243915	6.289160032	23.72054994	13.76276087			
6.312714939	-14.14998777	10.28208731	6.312714939	23.68850971	13.77038567			
6.336269845	-14.13630487	10.28456043	6.336269845	23.67510994	13.78109081			
6.359824751	-14.12831573	10.28425341	6.359824751	23.68024891	13.77672761			
6.383379658	-14.15656524	10.28523758	6.383379658	23.66938564	13.78001363			
