GFsupBEST?			GFext		
t	x	y	t	x	y
16.688771	22.32726492	20.99785375	16.688771	3.31415107	24.53733844
16.74403183	22.26095619	21.00246063	16.74403183	3.314685513	24.53790673
16.79929266	22.24914334	21.00131286	16.79929266	3.318992669	24.53718485
16.85455349	22.34131687	20.99968708	16.85455349	3.318657021	24.53769877
16.90981432	22.24849022	21.00062058	16.90981432	3.317863133	24.53758278
16.96507515	22.22523517	20.9984043	16.96507515	3.316870167	24.5379191
17.02033599	22.34426961	20.99835769	17.02033599	3.316375771	24.5372169
17.07559682	22.26485505	21.00396139	17.07559682	3.325680241	24.53711063
17.13085765	22.25759386	21.00373807	17.13085765	3.322736416	24.53693346
17.18611848	22.35651811	21.00256354	17.18611848	3.327535203	24.53627749
17.24137931	22.27911826	21.00489434	17.24137931	3.331304192	24.53606625
17.29664014	22.29839201	21.00737462	17.29664014	3.327045655	24.53664454
17.35190097	22.37896184	21.00166119	17.35190097	3.331076606	24.53682069
17.4071618	22.25499686	20.99983481	17.4071618	3.324011378	24.53721286
17.46242263	22.25302826	20.99799916	17.46242263	3.322664147	24.53705278
17.51768347	22.33727908	20.97832942	17.51768347	3.323623783	24.53691305
17.5729443	22.24183474	20.97548186	17.5729443	3.329345902	24.53631429
17.62820513	22.22341118	20.97837378	17.62820513	3.329360393	24.53654803
17.68346596	22.33858346	20.97883698	17.68346596	3.327859807	24.53651803
17.73872679	22.26004573	20.98816097	17.73872679	3.328275037	24.53625212
17.79398762	22.24006974	20.98540625	17.79398762	3.328890627	24.53515001
17.84924845	22.35618655	20.98299287	17.84924845	3.330598143	24.53481731
17.90450928	22.25639571	20.9875708	17.90450928	3.327357944	24.53573455
17.95977011	22.25785931	20.99291418	17.95977011	3.328472964	24.5357475
18.01503095	22.36935429	20.99421309	18.01503095	3.329661038	24.53661491
18.07029178	22.25077152	20.99600523	18.07029178	3.329636571	24.53630661
18.12555261	22.25378784	20.9966071	18.12555261	3.32778655	24.53617385
18.18081344	22.35156972	20.99079384	18.18081344	3.323484071	24.53662162
18.23607427	22.26412431	20.99488227	18.23607427	3.329269306	24.5369084
18.2913351	22.24673809	20.9946435	18.2913351	3.326139801	24.53672644
18.34659593	22.37796828	20.99020547	18.34659593	3.326917258	24.53687188
18.40185676	22.28823287	20.98524531	18.40185676	3.325866414	24.53737153
