GMfas1MMM			GMextMMM		
t	x	y	t	x	y
5.4887361590	2.1004251390	4.9178144610	5.4887361590	46.1288345000	9.1457300000
5.5126002290	2.0868912910	4.9181121880	5.5126002290	46.1280642500	9.1491678210
5.5364642990	2.0274599770	4.9278947850	5.5364642990	46.1266607300	9.1529578630
5.5603283700	1.9459778140	4.9298851420	5.5603283700	46.1240280500	9.1603714940
5.5841924400	1.9470335650	4.9405699450	5.5841924400	46.1253828400	9.1636254170
5.6080565100	1.9601285270	4.9422294550	5.6080565100	46.1239046800	9.1681716160
5.6319205800	1.8485695460	4.9561305070	5.6319205800	46.1166343400	9.1745748710
5.6557846510	1.8165485110	4.9576513350	5.6557846510	46.1160448600	9.1774027520
5.6796487210	1.7971034420	4.9598640550	5.6796487210	46.1139677800	9.1806122400
5.7035127910	1.7255415870	4.9634759030	5.7035127910	46.0957859800	9.1969394980
5.7273768610	1.6405757880	4.9689505600	5.7273768610	46.0860943200	9.1958136570
5.7512409320	1.5293772500	4.9995005850	5.7512409320	46.0786154600	9.2010137370
5.7751050020	1.5043702320	5.0166316750	5.7751050020	46.1067835400	9.2209219660
5.7989690720	1.4543604970	5.0162257530	5.7989690720	46.0972324200	9.2280453200
5.8228331420	1.3861907760	5.0285624910	5.8228331420	46.0848779400	9.2344861910
5.8466972130	1.2264295100	5.0665629970	5.8466972130	46.0803976200	9.2427493890
5.8705612830	1.1658487780	5.0654426370	5.8705612830	46.0767337200	9.2492661380
5.8944253530	1.1077946230	5.0607307120	5.8944253530	46.0641901800	9.2555787870
5.9182894230	1.0281220070	5.0634754550	5.9182894230	46.0542192400	9.2625450300
5.9421534940	0.8982594551	5.0744955750	5.9421534940	46.0506505700	9.2653591360
5.9660175640	0.8607605276	5.0750937380	5.9660175640	46.0519372900	9.2656367600
5.9898816340	0.6979104757	5.1008947660	5.9898816340	46.0449452600	9.2793213160
6.0137457040	0.6374114641	5.1050639460	6.0137457040	46.0469298200	9.2787773300
6.0376097750	0.5925122492	5.1138364210	6.0376097750	46.0435768700	9.2856826770
6.0614738450	0.5355607640	5.1253790930	6.0614738450	46.0421535200	9.2887116630
6.0853379150	0.4258137419	5.1409666950	6.0853379150	46.0434213300	9.2928991610
6.1092019850	0.3801686713	5.1567318060	6.1092019850	46.0426856500	9.2964152890
6.1330660560	0.3135089005	5.1820156550	6.1330660560	46.0801669200	9.2931577080
6.1569301260	0.3175469353	5.2064227070	6.1569301260	46.0731792500	9.3133486950
6.1807941960	0.3366671922	5.2175439350	6.1807941960	46.0678982300	9.3168536050
6.2046582670	0.3002112800	5.2257254710	6.2046582670	46.0698110100	9.3188049250
6.2285223370	0.2516817665	5.2383712720	6.2285223370	46.0723689400	9.3186727060
6.2523864070	0.2358274090	5.2555451450	6.2523864070	46.0766606200	9.3213018490
6.2762504770	0.2613756724	5.2525484380	6.2762504770	46.0740955000	9.3217864340
6.3001145480	0.2586858961	5.2477507440	6.3001145480	46.0735518200	9.3195395430
6.3239786180	0.2021329232	5.2562045380	6.3239786180	46.0715716700	9.3229773010
6.3478426880	0.1920609800	5.2614759860	6.3478426880	46.0714591400	9.3254733310
6.3717067580	0.2386558840	5.2513508100	6.3717067580	46.0690687800	9.3269000210
6.3955708290	0.2201913862	5.2521099660	6.3955708290	46.0681054500	9.3249385740
6.4194348990	0.1999573582	5.2560116690	6.4194348990	46.0673611500	9.3271167690
6.4432989690	0.2560258144	5.2486747100	6.4432989690	46.0663530300	9.3287533770
6.4671630390	0.2989709386	5.2407516610	6.4671630390	46.0661687600	9.3262880580
6.4910271100	0.2735273816	5.2458302490	6.4910271100	46.0620863200	9.3283252120
6.5148911800	0.2634858794	5.2463223010	6.5148911800	46.0625693300	9.3283096620
6.5387552500	0.3740524450	5.2261819200	6.5387552500	46.0656085300	9.3260600270
6.5626193200	0.4411108522	5.2112715810	6.5626193200	46.0578949400	9.3262138570
6.5864833910	0.4549474747	5.2109668730	6.5864833910	46.0646792400	9.3236640470
6.6103474610	0.4750197487	5.2136813440	6.6103474610	46.0650026800	9.3255572640
6.6342115310	0.5044212217	5.2099953280	6.6342115310	46.0626396400	9.3262393700
6.6580756010	0.5106356738	5.2025573780	6.6580756010	46.0620502400	9.3258686120
6.6819396720	0.5233932774	5.2037865620	6.6819396720	46.0675763900	9.3208119500
6.7058037420	0.5218583115	5.2045927310	6.7058037420	46.0669086800	9.3235757480
6.7296678120	0.5509017487	5.1977375440	6.7296678120	46.0636465200	9.3247310650
6.7535318820	0.6182582924	5.1878548220	6.7535318820	46.0668209300	9.3175431710
6.7773959530	0.5907982369	5.1901638120	6.7773959530	46.0666319000	9.3191963200
6.8012600230	0.5877143335	5.1850021470	6.8012600230	46.0647463400	9.3249414700
6.8251240930	0.6664020975	5.1735694190	6.8251240930	46.0650561600	9.3195712660
6.8489881630	0.6685769039	5.1681847680	6.8489881630	46.0655877400	9.3190417600
6.8728522340	0.7322975289	5.1654707560	6.8728522340	46.0621788600	9.3230593500
6.8967163040	0.7781913774	5.1604861590	6.8967163040	46.0674336000	9.3163014710
6.9205803740	0.8094952306	5.1546670710	6.9205803740	46.0683362100	9.3135746110
6.9444444440	0.8377186015	5.1473083330	6.9444444440	46.0686305600	9.3149759400
6.9683085150	0.9983923828	5.1094145520	6.9683085150	46.0618711300	9.3173302990
6.9921725850	1.0948551680	5.0900563490	6.9921725850	46.0674144000	9.3051541860
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
