GMfasMMM			GMext		
t	x	y	t	x	y
2.2459912740	15.7115304700	1.8687658480	2.2459912740	46.9921700900	13.2493001400
2.2644010380	15.6221528800	1.8827430560	2.2644010380	46.9919948500	13.2491705500
2.2828108030	15.4240736200	1.9323010350	2.2828108030	46.9917875800	13.2482497300
2.3012205670	15.3030912600	1.9560578420	2.3012205670	46.9926535500	13.2482960900
2.3196303320	15.1635119600	1.9714851640	2.3196303320	46.9935323000	13.2472861500
2.3380400960	15.0271910300	1.9954224290	2.3380400960	46.9937948500	13.2464193500
2.3564498610	14.9386460900	2.0139319040	2.3564498610	46.9924977500	13.2474833300
2.3748596260	14.7760237100	2.0345202150	2.3748596260	46.9922464800	13.2464563300
2.3932693900	14.6116886100	2.0562042120	2.3932693900	46.9925707200	13.2457717500
2.4116791550	14.4581883800	2.0751648820	2.4116791550	46.9945732200	13.2454337200
2.4300889190	14.3713311800	2.0778563360	2.4300889190	46.9942549400	13.2461742700
2.4484986840	14.1882066500	2.1005954950	2.4484986840	46.9931946800	13.2449792500
2.4669084480	14.0079496000	2.1141913790	2.4669084480	46.9995971400	13.2463518300
2.4853182130	13.8305698600	2.1298840090	2.4853182130	47.0015173400	13.2455618600
2.5037279770	13.6714395200	2.1472654160	2.5037279770	47.0029208600	13.2465018400
2.5221377420	13.5651558100	2.1657007110	2.5221377420	47.0022035400	13.2478624900
2.5405475060	13.4151376800	2.1827653700	2.5405475060	47.0060789400	13.2482333100
2.5589572710	13.1107967400	2.2373012930	2.5589572710	47.0053193100	13.2489742400
2.5773670350	12.9439706000	2.2664511230	2.5773670350	47.0102392100	13.2490801400
2.5957768000	12.8452505600	2.2874948980	2.5957768000	47.0077462200	13.2486226300
2.6141865650	12.6784912700	2.3105670270	2.6141865650	47.0063248000	13.2477839900
2.6325963290	12.5195315800	2.3283423110	2.6325963290	47.0095574000	13.2460206000
2.6510060940	12.3878671200	2.3467293240	2.6510060940	47.0075961100	13.2474629800
2.6694158580	12.2442645600	2.3669205570	2.6694158580	47.0071449900	13.2467516200
2.6878256230	12.1986407000	2.3649115410	2.6878256230	47.0092767600	13.2475886800
2.7062353870	12.0695247500	2.3829404740	2.7062353870	47.0105741800	13.2472702000
2.7246451520	11.9313606500	2.4062238900	2.7246451520	47.0036806600	13.2480731000
2.7430549160	11.7901801800	2.4269058760	2.7430549160	47.0076683000	13.2481133300
2.7614646810	11.6770906200	2.4293214940	2.7614646810	47.0046527300	13.2490088800
2.7798744450	11.5657541000	2.4373294350	2.7798744450	47.0060881900	13.2478114800
2.7982842100	11.5016257000	2.4441047300	2.7982842100	47.0050844000	13.2473269000
2.8166939740	11.3502052600	2.4556410940	2.8166939740	47.0004306300	13.2463406900
2.8351037390	11.1989428000	2.4666002060	2.8351037390	46.9950547500	13.2486830600
2.8535135040	10.9249429400	2.4867894700	2.8535135040	46.9958231100	13.2486395900
2.8719232680	10.8784884200	2.4907312870	2.8719232680	46.9946665700	13.2489718300
2.8903330330	10.7214155900	2.5042127270	2.8903330330	46.9924797100	13.2494253800
2.9087427970	10.5929433700	2.5152796320	2.9087427970	46.9908543600	13.2494976900
2.9271525620	10.4864119600	2.5227699270	2.9271525620	46.9903454400	13.2482202600
2.9455623260	10.4413455600	2.5299166830	2.9455623260	46.9873939200	13.2477281100
2.9639720910	10.3441363500	2.5344419550	2.9639720910	46.9850978000	13.2484745400
2.9823818550	10.2408752000	2.5451489360	2.9823818550	46.9858607500	13.2485793600
3.0007916200	10.1533526800	2.5508358260	3.0007916200	46.9833112300	13.2484385600
3.0192013840	10.0581369900	2.5579254000	3.0192013840	46.9851018700	13.2477366600
3.0376111490	10.0237554000	2.5614748320	3.0376111490	46.9848211500	13.2469411900
3.0560209130	9.9722336020	2.5710779960	3.0560209130	46.9852403800	13.2461063900
3.0744306780	9.9501681440	2.5751956890	3.0744306780	46.9841545400	13.2456593300
3.0928404430	9.9221901670	2.5843643030	3.0928404430	46.9837341100	13.2455025400
3.1112502070	9.8551879650	2.5900900530	3.1112502070	46.9837707100	13.2450518400
3.1296599720	9.7932477470	2.5940854920	3.1296599720	46.9860293800	13.2448592900
3.1480697360	9.7470549290	2.5954122630	3.1480697360	46.9850337100	13.2447057800
3.1664795010	9.6940806190	2.6030291720	3.1664795010	46.9847059400	13.2442270100
3.1848892650	9.7179043050	2.6079832000	3.1848892650	46.9849066800	13.2436272100
3.2032990300	9.7103639930	2.6106173780	3.2032990300	46.9841164400	13.2438249100
3.2217087940	9.6902016020	2.6119281190	3.2217087940	46.9833184600	13.2427637000
3.2401185590	9.6669130140	2.6119981880	3.2401185590	46.9839867100	13.2427902300
3.2585283230	9.5999979330	2.6178893250	3.2585283230	46.9827835800	13.2432462300
3.2769380880	9.5531812830	2.6222649280	3.2769380880	46.9842714800	13.2423364000
3.2953478530	9.5071212310	2.6213728530	3.2953478530	46.9824457900	13.2424929900
3.3137576170	9.4205869750	2.6347841250	3.3137576170	46.9829456500	13.2428178000
3.3321673820	9.3931823570	2.6345422580	3.3321673820	46.9816229400	13.2428539900
3.3505771460	9.3621431860	2.6292803660	3.3505771460	46.9826610500	13.2436628300
3.3689869110	9.3519002850	2.6286821730	3.3689869110	46.9819963200	13.2434935900
3.3873966750	9.3264876820	2.6369366600	3.3873966750	46.9815721600	13.2437026900
3.4058064400	9.2915770520	2.6358666920	3.4058064400	46.9795918000	13.2442656100
3.4242162040	9.2302668420	2.6386024820	3.4242162040	46.9791351100	13.2446789900
3.4426259690	9.1958038800	2.6444386390	3.4426259690	46.9798574200	13.2436264700
3.4610357330	9.1793182770	2.6433865520	3.4610357330	46.9785337000	13.2447501600
3.4794454980	9.1809927010	2.6449246960	3.4794454980	46.9779239500	13.2445405800
3.4978552620	9.1861747060	2.6505061840	3.4978552620	46.9788483400	13.2433319900
3.5162650270	9.1885376080	2.6519869920	3.5162650270	46.9794277600	13.2429423900
3.5346747920	9.1673211420	2.6466017060	3.5346747920	46.9791940200	13.2437942100
3.5530845560	9.1507242220	2.6386668920	3.5530845560	46.9815482200	13.2427614400
3.5714943210	9.1582003670	2.6438485800	3.5714943210	46.9792142800	13.2422335700
3.5899040850	9.1616916040	2.6489044250	3.5899040850	46.9808727600	13.2417569500
3.6083138500	9.1647539070	2.6535176920	3.6083138500	46.9784275400	13.2416027000
3.6267236140	9.1586469250	2.6522039420	3.6267236140	46.9786478900	13.2409042600
3.6451333790	9.1462849400	2.6408723540	3.6451333790	46.9781930000	13.2415234200
3.6635431430	9.1803191570	2.6261709900	3.6635431430	46.9791099200	13.2406427300
3.6819529080	9.1683794810	2.6127445870	3.6819529080	46.9787758400	13.2406689700
3.7003626720	9.1642839250	2.6060880720	3.7003626720	46.9780988300	13.2411911100
3.7187724370	9.1634352820	2.6020160020	3.7187724370	46.9783523600	13.2414282200
3.7371822010	9.1597292350	2.6007513310	3.7371822010	46.9791550600	13.2415797400
3.7555919660	9.1594638910	2.6013389000	3.7555919660	46.9778912200	13.2418542200
3.7740017310	9.1607237070	2.6005503720	3.7740017310	46.9781568000	13.2416713000
3.7924114950	9.1403267990	2.5978598790	3.7924114950	46.9777406700	13.2421060700
3.8108212600	9.1402982660	2.5966022800	3.8108212600	46.9768782000	13.2418399900
3.8292310240	9.1294029970	2.5962609330	3.8292310240	46.9761157500	13.2417870400
3.8476407890	9.1195338180	2.5941374270	3.8476407890	46.9758587100	13.2418275300
3.8660505530	9.1004821250	2.5978639350	3.8660505530	46.9759719300	13.2420052200
3.8844603180	9.0667513580	2.5999245800	3.8844603180	46.9757169900	13.2420502500
3.9028700820	9.0562872540	2.6009709770	3.9028700820	46.9751660800	13.2425832500
3.9212798470	9.0429878220	2.6048778350	3.9212798470	46.9757180200	13.2424627300
3.9396896110	9.0183527860	2.6071250160	3.9396896110	46.9763873800	13.2434268000
3.9580993760	9.0304445550	2.6082112260	3.9580993760	46.9748903600	13.2433125900
3.9765091400	9.0289427820	2.6071005380	3.9765091400	46.9757527900	13.2431708100
3.9949189050	9.0144411740	2.6054570120	3.9949189050	46.9751091000	13.2432036500
4.0133286700	9.0115853730	2.6060371380	4.0133286700	46.9744377400	13.2429243300
4.0317384340	9.0097820240	2.6069474110	4.0317384340	46.9746236600	13.2427399900
4.0501481990	9.0035597950	2.6032060920	4.0501481990	46.9757967200	13.2424011500
4.0685579630	9.0060842150	2.6013108840	4.0685579630	46.9757890100	13.2418817700
4.0869677280	9.0074838940	2.6007027010	4.0869677280	46.9752979800	13.2415519500
4.1053774920	9.0070715240	2.6008604950	4.1053774920	46.9764147000	13.2419055900
4.1237872570	9.0120488840	2.5989549240	4.1237872570	46.9755723200	13.2418814900
4.1421970210	9.0170503470	2.5972242320	4.1421970210	46.9750078700	13.2418280000
4.1606067860	9.0174195950	2.5973087440	4.1606067860	46.9739878700	13.2415627200
4.1790165500	9.0119806420	2.5987595040	4.1790165500	46.9751592200	13.2416790000
4.1974263150	9.0043733740	2.5967644650	4.1974263150	46.9750679000	13.2410464600
4.2158360790	9.0054791550	2.5955127690	4.2158360790	46.9749191400	13.2406781600
4.2342458440	9.0154718990	2.5983198560	4.2342458440	46.9740151900	13.2406648100
4.2526556090	9.0215056260	2.6016305730	4.2526556090	46.9748416400	13.2408636100
4.2710653730	9.0187305970	2.6032152170	4.2710653730	46.9758973800	13.2405943100
4.2894751380	9.0098024330	2.6033115650	4.2894751380	46.9745455600	13.2408945500
4.3078849020	9.0011941250	2.6030182110	4.3078849020	46.9741397300	13.2414953600
4.3262946670	8.9965841760	2.6049091310	4.3262946670	46.9745022400	13.2419081300
4.3447044310	8.9990219690	2.6062440530	4.3447044310	46.9762397900	13.2418185300
4.3631141960	9.0016840150	2.6069192630	4.3631141960	46.9745045000	13.2421233100
4.3815239600	8.9928104880	2.6062946400	4.3815239600	46.9743684800	13.2414201500
4.3999337250	8.9641239560	2.6075231700	4.3999337250	46.9751504700	13.2423146000
4.4183434890	8.9311839100	2.6069978330	4.4183434890	46.9740442300	13.2425315800
4.4367532540	8.9373336410	2.6054256440	4.4367532540	46.9746323400	13.2431531500
4.4551630180	8.9323090730	2.6062712570	4.4551630180	46.9749058500	13.2430526100
4.4735727830	8.8909826670	2.6058085610	4.4735727830	46.9756951000	13.2434055200
4.4919825480	8.8712356130	2.6089589610	4.4919825480	46.9737660000	13.2437500700
4.5103923120	8.8689979050	2.6153026070	4.5103923120	46.9751377900	13.2435253000
4.5288020770	8.8545672500	2.6163936740	4.5288020770	46.9746045800	13.2434052000
4.5472118410	8.8563692440	2.6188775610	4.5472118410	46.9744194800	13.2435603800
4.5656216060	8.8614902740	2.6211549050	4.5656216060	46.9757920100	13.2434339200
4.5840313700	8.8562378350	2.6200323400	4.5840313700	46.9743019600	13.2434425900
4.6024411350	8.8384155230	2.6174728250	4.6024411350	46.9733157900	13.2442030000
4.6208508990	8.8222246050	2.6176260960	4.6208508990	46.9746069700	13.2437766700
4.6392606640	8.7879370210	2.6257266150	4.6392606640	46.9749499400	13.2437486300
4.6576704280	8.7328620550	2.6350235360	4.6576704280	46.9743576300	13.2441599900
4.6760801930	8.6970702340	2.6344991800	4.6760801930	46.9749395700	13.2453778500
4.6944899570	8.6497592340	2.6400957790	4.6944899570	46.9751203900	13.2457748000
4.7128997220	8.5928465750	2.6472208460	4.7128997220	46.9738165600	13.2468341800
4.7313094870	8.5640462340	2.6469500210	4.7313094870	46.9739869700	13.2468297100
4.7497192510	8.5368084360	2.6446052110	4.7497192510	46.9727403600	13.2484776200
4.7681290160	8.5562189900	2.6514331060	4.7681290160	46.9729354400	13.2475263500
4.7865387800	8.5554251030	2.6513150310	4.7865387800	46.9723597200	13.2466756100
4.8049485450	8.5406135430	2.6509676510	4.8049485450	46.9717424000	13.2473704900
4.8233583090	8.5367773930	2.6520984330	4.8233583090	46.9726893500	13.2477335100
4.8417680740	8.5343382000	2.6506813610	4.8417680740	46.9734601000	13.2462722400
4.8601778380	8.5503542280	2.6531192510	4.8601778380	46.9732023700	13.2451128100
4.8785876030	8.5589219580	2.6552422020	4.8785876030	46.9733133000	13.2433800000
4.8969973670	8.5612164300	2.6561806710	4.8969973670	46.9729757200	13.2432515100
4.9154071320	8.5561981660	2.6556316190	4.9154071320	46.9730116600	13.2427838400
4.9338168960	8.5571740310	2.6564911470	4.9338168960	46.9741488700	13.2423120000
4.9522266610	8.5652691330	2.6573384350	4.9522266610	46.9740342400	13.2415612800
4.9706364260	8.5767521340	2.6600150850	4.9706364260	46.9754206800	13.2413977500
4.9890461900	8.6182337560	2.6575206350	4.9890461900	46.9748057200	13.2399621700
5.0074559550	8.6316522760	2.6566649070	5.0074559550	46.9745894400	13.2395014500
5.0258657190	8.5908014650	2.6589822060	5.0258657190	46.9742951400	13.2403949300
5.0442754840	8.5838596760	2.6576263030	5.0442754840	46.9739082400	13.2415564300
5.0626852480	8.5870053230	2.6573055700	5.0626852480	46.9741952700	13.2415224600
5.0810950130	8.6138536280	2.6525575630	5.0810950130	46.9751268500	13.2418314200
5.0995047770	8.6264342010	2.6527280080	5.0995047770	46.9754845800	13.2422275100
5.1179145420	8.6303175590	2.6513080830	5.1179145420	46.9760239500	13.2418440800
5.1363243060	8.6300915210	2.6513505860	5.1363243060	46.9758985400	13.2425653700
5.1547340710	8.6355167720	2.6510365870	5.1547340710	46.9759111800	13.2426582300
5.1731438350	8.6424236500	2.6509365890	5.1731438350	46.9755417700	13.2403822300
5.1915536000	8.6395129330	2.6491355360	5.1915536000	46.9759146100	13.2397745400
5.2099633650	8.6425931780	2.6469671550	5.2099633650	46.9759337900	13.2403050600
5.2283731290	8.6500662280	2.6464569650	5.2283731290	46.9761184800	13.2404728400
5.2467828940	8.6873235560	2.6410294120	5.2467828940	46.9755415500	13.2413407800
5.2651926580	8.7247582550	2.6384549510	5.2651926580	46.9752639900	13.2419508800
5.2836024230	8.7550439030	2.6274745780	5.2836024230	46.9751233600	13.2422128300
5.3020121870	8.8136770330	2.6210838860	5.3020121870	46.9751494600	13.2419358500
5.3204219520	8.9335714580	2.5880380900	5.3204219520	46.9757600900	13.2408346400
5.3388317160	9.0971833920	2.5612633160	5.3388317160	46.9744358100	13.2400063000
			5.3572414810	46.9714337500	13.2343447500
			5.3756512450	46.9681999600	13.2237867100
			5.3940610100	46.9847082300	13.1968159500
			5.4124707740	46.9819914200	13.1829620500
			5.4308805390	46.9800067100	13.1730759900
			5.4492903040	46.9777843800	13.1650665600
			5.4677000680	46.9730183900	13.1533611000
			5.4861098330	46.9876837500	13.1225707500
			5.5045195970	46.9796972700	13.1134812700
			5.5229293620	46.9750041200	13.0996131700
			5.5413391260	46.9723466100	13.0875617300
			5.5597488910	46.9641416600	13.0732677000
			5.5781586550	46.9541406200	13.0676797800
			5.5965684200	46.9496702500	13.0740169000
			5.6149781840	46.9464630400	13.0641181300
			5.6333879490	46.9755265300	13.0245844900
			5.6517977140	46.9663963400	13.0184119900
			5.6702074780	46.9555915600	13.0206752200
			5.6886172430	46.9551497800	13.0195804100
			5.7070270070	46.9517949500	13.0087275100
			5.7254367720	46.9477908800	12.9987861200
			5.7438465360	46.9420185300	12.9912204900
			5.7622563010	46.9403174700	12.9868816100
			5.7806660650	46.9660043800	12.9802187700
			5.7990758300	46.9663625900	12.9624492100
			5.8174855940	46.9637638500	12.9535848300
			5.8358953590	46.9608797100	12.9515980300
			5.8543051230	46.9594584700	12.9498152700
			5.8727148880	46.9605278900	12.9478802000
			5.8911246530	46.9602074300	12.9445784100
			5.9095344170	46.9593363600	12.9419825700
			5.9279441820	46.9579218400	12.9413922500
			5.9463539460	46.9571009000	12.9405026900
			5.9647637110	46.9560626800	12.9383203900
			5.9831734750	46.9534055700	12.9383618700
			6.0015832400	46.9526320400	12.9386784200
			6.0199930040	46.9525208500	12.9381321200
			6.0384027690	46.9532745700	12.9379235800
			6.0568125330	46.9515406000	12.9360624800
			6.0752222980	46.9508046600	12.9354008500
			6.0936320620	46.9493441800	12.9360349000
			6.1120418270	46.9488414900	12.9341389600
			6.1304515920	46.9481059500	12.9341039400
			6.1488613560	46.9481278600	12.9337254200
			6.1672711210	46.9470755900	12.9343725000
			6.1856808850	46.9454451500	12.9329277000
			6.2040906500	46.9463864200	12.9328153600
			6.2225004140	46.9472512900	12.9336402000
			6.2409101790	46.9471024400	12.9337051500
			6.2593199430	46.9465068400	12.9348976400
			6.2777297080	46.9459192900	12.9344526200
			6.2961394720	46.9462394700	12.9337326300
			6.3145492370	46.9456245500	12.9354475700
			6.3329590010	46.9448940200	12.9350601200
			6.3513687660	46.9450502100	12.9346181100
			6.3697785310	46.9445295100	12.9338328100
			6.3881882950	46.9441335100	12.9344308100
			6.4065980600	46.9438252900	12.9337473800
			6.4250078240	46.9424341700	12.9318357700
			6.4434175890	46.9417954300	12.9285628600
			6.4618273530	46.9414613400	12.9276221600
			6.4802371180	46.9401866300	12.9267285800
			6.4986468820	46.9397244700	12.9269231200
			6.5170566470	46.9394240600	12.9248146400
			6.5354664110	46.9388133300	12.9229278500
			6.5538761760	46.9368854900	12.9192274400
			6.5722859400	46.9364284200	12.9204505700
			6.5906957050	46.9388526500	12.9199961000
			6.6091054700	46.9370881500	12.9192897000
			6.6275152340	46.9379793800	12.9197333200
			6.6459249990	46.9363800800	12.9205116700
			6.6643347630	46.9372415600	12.9199245700
			6.6827445280	46.9383974000	12.9199994400
			6.7011542920	46.9390437000	12.9212518500
			6.7195640570	46.9368061700	12.9212504100
