GMfasBEST			GMextMMM		
t	x	y	t	x	y
5.2838912080	7.4770242310	3.6910664620	5.2838912080	45.0234094700	13.2819068700
5.3074800080	7.5278639300	3.6863828310	5.3074800080	45.0236961800	13.2809773800
5.3310688090	7.5087328450	3.6853876500	5.3310688090	45.0079164000	13.2829988900
5.3546576090	7.4822556590	3.6882493760	5.3546576090	44.9992837600	13.2877747500
5.3782464090	7.4761997700	3.6883465960	5.3782464090	44.9971035700	13.2897166400
5.4018352090	7.4875811880	3.6874786720	5.4018352090	44.9944566500	13.2869671500
5.4254240090	7.4986753780	3.6883135590	5.4254240090	44.9881844900	13.2897422900
5.4490128090	7.5668903840	3.6746002840	5.4490128090	44.9931013400	13.2849152000
5.4726016090	7.5436881700	3.6753451620	5.4726016090	44.9917772200	13.2851059500
5.4961904090	7.4985816560	3.6863990450	5.4961904090	44.9810861800	13.2902485200
5.5197792090	7.4850567380	3.6882376600	5.5197792090	44.9802001600	13.2911190800
5.5433680090	7.4850641090	3.6866682800	5.5433680090	44.9797130700	13.2907662400
5.5669568090	7.4905230420	3.6886245240	5.5669568090	44.9806376700	13.2907867100
5.5905456090	7.4716626720	3.6883769480	5.5905456090	44.9771129100	13.2905201700
5.6141344090	7.3702843220	3.6972608800	5.6141344090	44.9691495000	13.2958955800
5.6377232090	7.3489066100	3.7021676160	5.6377232090	44.9620191000	13.2983700400
5.6613120090	7.4144119860	3.7004524360	5.6613120090	44.9628008100	13.2968732400
5.6849008090	7.3607619410	3.7023539900	5.6849008090	44.9641849000	13.2972015800
5.7084896090	7.3421825620	3.7034811060	5.7084896090	44.9672034400	13.2965610400
5.7320784090	7.3890320730	3.6971283990	5.7320784090	44.9680476700	13.2945285100
5.7556672090	7.3918971210	3.6965223670	5.7556672090	44.9683312600	13.2947521800
5.7792560090	7.3579289820	3.7032327020	5.7792560090	44.9679346200	13.2951977000
5.8028448090	7.3241013630	3.7068760370	5.8028448090	44.9681828300	13.2948116200
5.8264336090	7.3310343750	3.7053018110	5.8264336090	44.9710639400	13.2945276500
5.8500224090	7.3585764220	3.7031849040	5.8500224090	44.9704894700	13.2939321600
5.8736112090	7.3566146160	3.7025724810	5.8736112090	44.9719581100	13.2934036300
5.8972000090	7.3289619570	3.7012741330	5.8972000090	44.9716214700	13.2946692500
5.9207888090	7.3453695490	3.7045213980	5.9207888090	44.9721780600	13.2938174100
5.9443776100	7.3587742420	3.7049724390	5.9443776100	44.9751223000	13.2922364500
5.9679664100	7.3775586290	3.7006058730	5.9679664100	44.9758988700	13.2906327300
5.9915552100	7.3650199300	3.6995817470	5.9915552100	44.9790045100	13.2904539700
6.0151440100	7.3733302560	3.7012949630	6.0151440100	44.9780403100	13.2905798000
6.0387328100	7.3807068350	3.7031193880	6.0387328100	44.9787541400	13.2880141200
6.0623216100	7.3680801880	3.7043607110	6.0623216100	44.9773030200	13.2883871800
6.0859104100	7.3546283870	3.7011898950	6.0859104100	44.9792474000	13.2893665900
6.1094992100	7.4109801330	3.6961339980	6.1094992100	44.9774245800	13.2891459000
6.1330880100	7.4221859160	3.6963117080	6.1330880100	44.9811472500	13.2868088300
6.1566768100	7.3998853910	3.6962277920	6.1566768100	44.9772117900	13.2874330600
6.1802656100	7.4267141340	3.6976474820	6.1802656100	44.9803041800	13.2856015000
6.2038544100	7.4272725030	3.6975990730	6.2038544100	44.9831497900	13.2825678900
6.2274432100	7.3842654910	3.7051105310	6.2274432100	44.9796087000	13.2846388100
6.2510320100	7.3828887260	3.7017833790	6.2510320100	44.9792071100	13.2854313700
6.2746208100	7.4108265700	3.7002921290	6.2746208100	44.9865726000	13.2764022100
6.2982096100	7.3982069930	3.6965734560	6.2982096100	44.9838232100	13.2801977700
6.3217984100	7.4057695960	3.6892799470	6.3217984100	44.9763403400	13.2825927400
6.3453872100	7.4322260150	3.6949165970	6.3453872100	44.9809105300	13.2792514800
6.3689760100	7.4586519040	3.6929837550	6.3689760100	44.9820579100	13.2776053300
6.3925648100	7.4497169240	3.6947311810	6.3925648100	44.9791480000	13.2797295600
6.4161536100	7.4461890940	3.6947543570	6.4161536100	44.9794692700	13.2798090600
6.4397424100	7.4211062320	3.6980283670	6.4397424100	44.9774148000	13.2820786400
6.4633312100	7.4965490150	3.6864472150	6.4633312100	44.9792223300	13.2843564900
6.4869200100	7.5586478980	3.6759459670	6.4869200100	44.9813416500	13.2834632000
6.5105088100	7.4704335090	5.0068071060	6.5105088100	44.9879224100	13.2834404100
6.5340976100	7.7319301620	4.9778135110	6.5340976100	44.9919143800	13.2825285900
6.5576864100	7.6465810170	4.2082145150	6.5576864100	44.9470950900	13.2493799800
6.5812752110	8.8156638280	5.6107269140	6.5812752110	44.9716070900	13.2024666200
6.6048640110	9.2489326090	5.9822016020	6.6048640110	44.9532293100	13.1616522800
6.6284528110	9.3791664840	5.9525980600	6.6284528110	44.9643307600	13.1539842500
6.6520416110	9.2661710380	7.3541988480	6.6520416110	44.9975363000	13.1387655200
			6.6756304110	45.0765438100	13.0469775500
			6.6992192110	45.0492682400	12.9701703600
			6.7228080110	45.0164468000	12.9234161900
			6.7463968110	45.0723843900	12.8796888200
			6.7699856110	45.0808715300	12.8481167200
			6.7935744110	45.0989800100	12.8022132000
			6.8171632110	45.1062411000	12.7616306700
			6.8407520110	45.1299837800	12.7251104100
			6.8643408110	45.1208772200	12.7323340700
			6.8879296110	45.1284206400	12.7341753700
			6.9115184110	45.1361795700	12.7323213600
			6.9351072110	45.1153045400	12.6757123100
			6.9586960110	45.1327145400	12.6095435900
			6.9822848110	45.1540823800	12.5849605300
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
