GM fasc			Ext		
t	x	y	t	x	y
13.83010432	9.530720514	1.08836274	13.83010432	4.71360575	8.490889241
13.88971684	9.546197425	1.089669988	13.88971684	4.714746639	8.490933399
13.94932936	9.554931937	1.090720386	13.94932936	4.711508614	8.492396267
14.00894188	9.571295719	1.089902811	14.00894188	4.712315877	8.492585106
14.0685544	9.565782338	1.090373786	14.0685544	4.707587766	8.493080151
14.12816692	9.569932473	1.090489935	14.12816692	4.702429627	8.493784019
14.18777943	9.569167478	1.091242797	14.18777943	4.701625892	8.494409381
14.24739195	9.569785484	1.090954083	14.24739195	4.699478748	8.495057534
14.30700447	9.581427763	1.090042333	14.30700447	4.6995822	8.495566909
14.36661699	9.578472055	1.091287655	14.36661699	4.698695374	8.495410572
14.42622951	9.58199865	1.092555917	14.42622951	4.697752477	8.495455263
14.48584203	9.587715309	1.092187199	14.48584203	4.696299065	8.495189276
14.54545455	9.582677101	1.092388768	14.54545455	4.697447276	8.495515615
14.60506706	9.605093291	1.090676228	14.60506706	4.698455382	8.495521248
14.66467958	9.646100066	1.087199011	14.66467958	4.698600537	8.495068894
14.7242921	9.683372718	1.084643503	14.7242921	4.698146152	8.495428846
14.78390462	9.704896892	1.083522278	14.78390462	4.697279235	8.495587512
14.84351714	9.722360464	1.082413545	14.84351714	4.696628093	8.495410931
14.90312966	9.722101863	1.08240419	14.90312966	4.695916433	8.49549971
14.96274218	9.71473456	1.083584726	14.96274218	4.694722194	8.496195139
15.02235469	9.72098514	1.083784352	15.02235469	4.696242619	8.495408952
15.08196721	9.72709382	1.082324457	15.08196721	4.697723539	8.496062542
15.14157973	9.725103271	1.083209231	15.14157973	4.697434962	8.496355649
15.20119225	9.722177405	1.082669665	15.20119225	4.69913137	8.496420383
15.26080477	9.707940282	1.083612446	15.26080477	4.699905711	8.496347152
15.32041729	9.726897378	1.081255888	15.32041729	4.701141819	8.496486564
15.38002981	9.755449599	1.079998016	15.38002981	4.701672376	8.495958093
15.43964232	9.799525625	1.078426018	15.43964232	4.702377712	8.495480471
15.49925484	9.817438677	1.077754995	15.49925484	4.701618833	8.495451219
15.55886736	9.833817904	1.077000168	15.55886736	4.70103165	8.495423659
15.61847988	9.866195521	1.073313116	15.61847988	4.698897995	8.49541911
15.6780924	9.859731691	1.073719187	15.6780924	4.698895193	8.495165144
15.73770492	9.862243361	1.072578708	15.73770492	4.697795756	8.495419927
15.79731744	9.865600764	1.072011139	15.79731744	4.697539286	8.495126464
15.85692996	9.863404937	1.073145812	15.85692996	4.696228228	8.4950726
15.91654247	9.861097791	1.073969962	15.91654247	4.696544111	8.495224609
15.97615499	9.866782039	1.074276847	15.97615499	4.696148955	8.495470362
16.03576751	9.868234733	1.074564324	16.03576751	4.694779346	8.495838594
16.09538003	9.86912278	1.074923331	16.09538003	4.693428849	8.49546575
16.15499255	9.867290087	1.075490322	16.15499255	4.695526895	8.496036904
16.21460507	9.867834597	1.074862982	16.21460507	4.694332137	8.496299344
16.27421759	9.868512692	1.07521927	16.27421759	4.695456586	8.495994026
16.3338301	9.869162785	1.074928183	16.3338301	4.696112974	8.496144094
16.39344262	9.862908024	1.076118725	16.39344262	4.696670031	8.495627677
16.45305514	9.867916164	1.075317199	16.45305514	4.696465042	8.495709344
16.51266766	9.873314505	1.07558195	16.51266766	4.696801033	8.495964942
16.57228018	9.872066446	1.075793192	16.57228018	4.69831823	8.495361318
16.6318927	9.868195187	1.076514304	16.6318927	4.698851742	8.495465909
16.69150522	9.868630283	1.077695326	16.69150522	4.701257768	8.49569385
16.75111773	9.872921262	1.077365519	16.75111773	4.69917088	8.495819939
16.81073025	9.86916108	1.076887901	16.81073025	4.698105505	8.49614657
16.87034277	9.877792756	1.074440096	16.87034277	4.698488157	8.496027651
16.92995529	9.881629706	1.074143531	16.92995529	4.697211189	8.496213961
