FASC_Dist			mass_A		
t	x	y	t	x	y
5.25899638	8.72757621	0.00000000	5.25899638	50.40099442	0.00000000
5.27738448	8.73641034	0.00000000	5.27738448	50.40127526	0.00000000
5.29577258	8.76377711	0.00000000	5.29577258	50.40151585	0.00000000
5.31416068	8.78717328	0.00000000	5.31416068	50.40108947	0.00000000
5.33254877	8.80211789	0.00000000	5.33254877	50.40116125	0.00000000
5.35093687	8.80596891	0.00000000	5.35093687	50.40161279	0.00000000
5.36932497	8.81249070	0.00000000	5.36932497	50.40185945	0.00000000
5.38771307	8.81967803	0.00000000	5.38771307	50.40205144	0.00000000
5.40610117	8.83054826	0.00000000	5.40610117	50.40288091	0.00000000
5.42448927	8.82627656	0.00000000	5.42448927	50.40278604	0.00000000
5.44287737	8.81700426	0.00000000	5.44287737	50.40310066	0.00000000
5.46126547	8.81614689	0.00000000	5.46126547	50.40302693	0.00000000
5.47965357	8.81210242	0.00000000	5.47965357	50.40323885	0.00000000
5.49804167	8.81271063	0.00000000	5.49804167	50.40350860	0.00000000
5.51642977	8.81243629	0.00000000	5.51642977	50.40335319	0.00000000
5.53481787	8.81981224	0.00000000	5.53481787	50.40370116	0.00000000
5.55320597	8.81754995	0.00000000	5.55320597	50.40359600	0.00000000
5.57159406	8.81425188	0.00000000	5.57159406	50.40361290	0.00000000
5.58998216	8.80731376	0.00000000	5.58998216	50.40367395	0.00000000
5.60837026	8.80536837	0.00000000	5.60837026	50.40371709	0.00000000
5.62675836	8.80316450	0.00000000	5.62675836	50.40373948	0.00000000
5.64514646	8.80848165	0.00000000	5.64514646	50.40379010	0.00000000
5.66353456	8.82450508	0.00000000	5.66353456	50.40375628	0.00000000
5.68192266	8.82574856	0.00000000	5.68192266	50.40375715	0.00000000
5.70031076	8.81947047	0.00000000	5.70031076	50.40389680	0.00000000
5.71869886	8.81389141	0.00000000	5.71869886	50.40381007	0.00000000
5.73708696	8.82109685	0.00000000	5.73708696	50.40371922	0.00000000
5.75547506	8.88149326	0.00000000	5.75547506	50.40392455	0.00000000
5.77386316	8.92901974	0.00000000	5.77386316	50.40390830	0.00000000
5.79225126	9.00932060	0.00000000	5.79225126	50.40394116	0.00000000
5.81063935	9.12569271	0.00000000	5.81063935	50.40401649	0.00000000
5.82902745	9.25101518	0.00000000	5.82902745	50.40414699	0.00000000
5.84741555	9.33371665	0.00000000	5.84741555	50.40421654	0.00000000
5.86580365	9.46533123	0.00000000	5.86580365	50.40445837	0.00000000
5.88419175	9.57201361	0.00000000	5.88419175	50.40447097	0.00000000
5.90257985	9.66661680	0.00000000	5.90257985	50.40421365	0.00000000
5.92096795	9.79920111	0.00000000	5.92096795	50.40429389	0.00000000
5.93935605	9.96010573	0.00000000	5.93935605	50.40430894	0.00000000
5.95774415	10.02915043	0.00000000	5.95774415	50.40426887	0.00000000
5.97613225	10.19314910	0.00000000	5.97613225	50.40407890	0.00000000
5.99452035	10.37496814	0.00000000	5.99452035	50.40380516	0.00000000
6.01290845	10.64602819	0.00000000	6.01290845	50.40393153	0.00000000
6.03129655	10.78459668	0.00000000	6.03129655	50.40413208	0.00000000
6.04968464	10.98879445	0.00000000	6.04968464	50.40403720	0.00000000
6.06807274	11.31701584	0.00000000	6.06807274	50.40377573	0.00000000
6.08646084	11.70950718	0.00000000	6.08646084	50.40383576	0.00000000
6.10484894	12.12248787	0.00000000	6.10484894	50.40383754	0.00000000
6.12323704	12.45851877	0.00000000	6.12323704	50.40381020	0.00000000
6.14162514	13.11976037	0.00000000	6.14162514	50.40345621	0.00000000
6.16001324	13.94265091	0.00000000	6.16001324	50.40290977	0.00000000
6.17840134	14.56213710	0.00000000	6.17840134	50.40266630	0.00000000
6.19678944	14.75809991	0.00000000	6.19678944	50.40297719	0.00000000
6.21517754	15.52111048	0.00000000	6.21517754	50.40285650	0.00000000
6.23356564	16.53207758	0.00000000	6.23356564	50.40253902	0.00000000
6.25195374	17.50629783	0.00000000	6.25195374	50.40179346	0.00000000
6.27034184	18.06761931	0.00000000	6.27034184	50.39933568	0.00000000
6.28872993	18.56170053	0.00000000	6.28872993	50.39784201	0.00000000
6.30711803	18.93469158	0.00000000	6.30711803	50.39863306	0.00000000
6.32550613	20.10115716	0.00000000	6.32550613	50.39833929	0.00000000
6.34389423	21.24216368	0.00000000	6.34389423	50.39661646	0.00000000
6.36228233	22.17584138	0.00000000	6.36228233	50.39744947	0.00000000
6.38067043	22.79415152	0.00000000	6.38067043	50.39766188	0.00000000
