mass_C			mass_A		
t	x	y	t	x	y
4.207214458	40.44109377	0	4.207214458	19.65323243	0
4.225506695	40.45190587	0	4.225506695	19.65771146	0
4.243798932	40.46387046	0	4.243798932	19.66019825	0
4.262091169	40.46124966	0	4.262091169	19.65956316	0
4.280383405	40.45618952	0	4.280383405	19.66022961	0
4.298675642	40.44777994	0	4.298675642	19.65654908	0
4.316967879	40.44377878	0	4.316967879	19.65478559	0
4.335260116	40.44310359	0	4.335260116	19.65488578	0
4.353552352	40.44443482	0	4.353552352	19.65552561	0
4.371844589	40.44096192	0	4.371844589	19.65279213	0
4.390136826	40.43721843	0	4.390136826	19.65087455	0
4.408429063	40.43452105	0	4.408429063	19.64733201	0
4.426721299	40.42821958	0	4.426721299	19.64102674	0
4.445013536	40.40556238	0	4.445013536	19.63343488	0
4.463305773	40.40598351	0	4.463305773	19.63335034	0
4.48159801	40.41880778	0	4.48159801	19.63875826	0
4.499890247	40.42544905	0	4.499890247	19.6431391	0
4.518182483	40.42723692	0	4.518182483	19.6419418	0
4.53647472	40.43132723	0	4.53647472	19.64573077	0
4.554766957	40.43402207	0	4.554766957	19.64896677	0
4.573059194	40.43820755	0	4.573059194	19.65089962	0
4.59135143	40.44102056	0	4.59135143	19.652235	0
4.609643667	40.43369835	0	4.609643667	19.65010186	0
4.627935904	40.43464468	0	4.627935904	19.65024504	0
4.646228141	40.43699758	0	4.646228141	19.65131435	0
4.664520378	40.43831647	0	4.664520378	19.65215801	0
4.682812614	40.43622089	0	4.682812614	19.65141222	0
4.701104851	40.43722521	0	4.701104851	19.65082331	0
4.719397088	40.43870219	0	4.719397088	19.65286721	0
4.737689325	40.43658539	0	4.737689325	19.65123614	0
4.755981561	40.43325585	0	4.755981561	19.64694349	0
4.774273798	40.42492797	0	4.774273798	19.64134111	0
4.792566035	40.42484298	0	4.792566035	19.64218314	0
4.810858272	40.42824223	0	4.810858272	19.64464988	0
4.829150509	40.43567482	0	4.829150509	19.6491911	0
4.847442745	40.43575193	0	4.847442745	19.64855873	0
4.865734982	40.43540564	0	4.865734982	19.64834024	0
4.884027219	40.43530366	0	4.884027219	19.64871627	0
4.902319456	40.43511957	0	4.902319456	19.6475915	0
4.920611692	40.43670749	0	4.920611692	19.64934032	0
4.938903929	40.43812921	0	4.938903929	19.65161434	0
4.957196166	40.43739965	0	4.957196166	19.65096219	0
4.975488403	40.43604126	0	4.975488403	19.64899016	0
4.993780639	40.43306041	0	4.993780639	19.64449762	0
5.012072876	40.42532994	0	5.012072876	19.64040784	0
5.030365113	40.41406871	0	5.030365113	19.63948924	0
5.04865735	40.36006694	0	5.04865735	19.6285226	0
5.066949587	40.30689143	0	5.066949587	19.61080494	0
5.085241823	40.28732591	0	5.085241823	19.59352883	0
5.10353406	40.29120806	0	5.10353406	19.59102344	0
5.121826297	40.30704902	0	5.121826297	19.59394305	0
5.140118534	40.36057704	0	5.140118534	19.59875011	0
5.15841077	40.38301513	0	5.15841077	19.60123093	0
5.176703007	40.38209736	0	5.176703007	19.59384093	0
5.194995244	40.38591552	0	5.194995244	19.5930474	0
5.213287481	40.37554155	0	5.213287481	19.58711529	0
5.231579718	40.37366239	0	5.231579718	19.5884356	0
5.249871954	40.37383205	0	5.249871954	19.58680972	0
5.268164191	40.37275445	0	5.268164191	19.58490551	0
5.286456428	40.35867441	0	5.286456428	19.58059568	0
5.304748665	40.35991214	0	5.304748665	19.58187851	0
5.323040901	40.35673253	0	5.323040901	19.58082423	0
5.341333138	40.34579851	0	5.341333138	19.57670026	0
5.359625375	40.33723779	0	5.359625375	19.57537817	0
5.377917612	40.31526173	0	5.377917612	19.56829285	0
5.396209849	40.28704195	0	5.396209849	19.56791059	0
5.414502085	40.26955883	0	5.414502085	19.56690026	0
5.432794322	40.27706607	0	5.432794322	19.57090201	0
5.451086559	40.28105855	0	5.451086559	19.57108774	0
5.469378796	40.26738964	0	5.469378796	19.57243871	0
5.487671032	40.27018886	0	5.487671032	19.57452853	0
5.505963269	40.2840287	0	5.505963269	19.57584924	0
5.524255506	40.28383324	0	5.524255506	19.57379352	0
5.542547743	40.28236389	0	5.542547743	19.57440176	0
5.56083998	40.28033684	0	5.56083998	19.57349267	0
5.579132216	40.26351938	0	5.579132216	19.56845721	0
5.597424453	40.25490306	0	5.597424453	19.56916918	0
5.61571669	40.25565062	0	5.61571669	19.57019737	0
5.634008927	40.26198756	0	5.634008927	19.57249489	0
5.652301163	40.25182317	0	5.652301163	19.56805694	0
5.6705934	40.20618759	0	5.6705934	19.56406806	0
5.688885637	40.17659349	0	5.688885637	19.56176446	0
5.707177874	40.15507492	0	5.707177874	19.56426115	0
5.72547011	40.14510759	0	5.72547011	19.56477824	0
5.743762347	40.14256003	0	5.743762347	19.56522243	0
5.762054584	40.14308447	0	5.762054584	19.57184315	0
5.780346821	40.14374842	0	5.780346821	19.5729681	0
5.798639058	40.14305435	0	5.798639058	19.57184579	0
5.816931294	40.14279108	0	5.816931294	19.57517487	0
5.835223531	40.14047347	0	5.835223531	19.57680558	0
5.853515768	40.14036819	0	5.853515768	19.57486838	0
5.871808005	40.13136545	0	5.871808005	19.57737574	0
5.890100241	40.12236707	0	5.890100241	19.57331665	0
5.908392478	40.11458847	0	5.908392478	19.57023755	0
5.926684715	40.1237117	0	5.926684715	19.57044515	0
5.944976952	40.13242098	0	5.944976952	19.56720491	0
5.963269189	40.12710996	0	5.963269189	19.56467508	0
5.981561425	40.12978271	0	5.981561425	19.55615268	0
5.999853662	40.1324045	0	5.999853662	19.56109397	0
6.018145899	40.13476621	0	6.018145899	19.56451052	0
6.036438136	40.13649397	0	6.036438136	19.56603439	0
6.054730372	40.13782534	0	6.054730372	19.57016305	0
6.073022609	40.14063202	0	6.073022609	19.57268619	0
6.091314846	40.14441243	0	6.091314846	19.57206341	0
6.109607083	40.14731144	0	6.109607083	19.57516671	0
6.12789932	40.15639365	0	6.12789932	19.57870498	0
6.146191556	40.15036534	0	6.146191556	19.57748553	0
6.164483793	40.1483753	0	6.164483793	19.5778235	0
6.18277603	40.15137386	0	6.18277603	19.57863164	0
6.201068267	40.15056512	0	6.201068267	19.58267156	0
6.219360503	40.14815768	0	6.219360503	19.58326538	0
6.23765274	40.15720686	0	6.23765274	19.59063005	0
6.255944977	40.16599992	0	6.255944977	19.59374499	0
6.274237214	40.16724755	0	6.274237214	19.58947916	0
6.292529451	40.15906328	0	6.292529451	19.58386828	0
6.310821687	40.15159716	0	6.310821687	19.58112371	0
6.329113924	40.147965	0	6.329113924	19.5798983	0
