mass_C			extMMM		
t	x	y	t	x	y
4.5045045050	7.2328367840	-0.4777553478	4.5045045050	36.4634152600	5.1488713900
4.5296693340	7.1749843930	-0.4756631919	4.5296693340	36.4533188000	5.1474214360
4.5548341640	7.1341543530	-0.4777001442	4.5548341640	36.4499566300	5.1462388420
4.5799989930	7.0574411130	-0.4769197242	4.5799989930	36.4320276900	5.1424951180
4.6051638230	6.9847165050	-0.4769506553	4.6051638230	36.4206419400	5.1392879140
4.6303286530	6.8938954330	-0.4771964941	4.6303286530	36.3742863800	5.1371873640
4.6554934820	6.8732245970	-0.4777914397	4.6554934820	36.3616463400	5.1389642130
4.6806583120	6.8490829950	-0.4755388842	4.6806583120	36.3483006300	5.1414999690
4.7058231420	6.8092414530	-0.4768975173	4.7058231420	36.3421475600	5.1442713480
4.7309879710	6.7478777180	-0.4774681121	4.7309879710	36.3151104100	5.1453472020
4.7561528010	6.7059865700	-0.4747663925	4.7561528010	36.3072560800	5.1459416480
4.7813176300	6.6896490760	-0.4744040416	4.7813176300	36.3048608000	5.1444314500
4.8064824600	6.6729637610	-0.4762568711	4.8064824600	36.3122532600	5.1441204350
4.8316472900	6.5979400950	-0.4760561391	4.8316472900	36.3134886800	5.1431281610
4.8568121190	6.5696031530	-0.4742457983	4.8568121190	36.3077204200	5.1429277450
4.8819769490	6.5347901790	-0.4761478528	4.8819769490	36.2960151400	5.1419543450
4.9071417790	6.4739571960	-0.4757903771	4.9071417790	36.2890017300	5.1429086210
4.9323066080	6.4432133170	-0.4770835903	4.9323066080	36.2835944100	5.1434523020
4.9574714380	6.4203307830	-0.4768190998	4.9574714380	36.2849966100	5.1440082860
4.9826362680	6.4018982610	-0.4743514219	4.9826362680	36.2807589300	5.1434935480
5.0078010970	6.3970015280	-0.4746558835	5.0078010970	36.2750566100	5.1426216130
5.0329659270	6.3908647290	-0.4728401478	5.0329659270	36.2778606300	5.1432463520
5.0581307560	6.3347159890	-0.4733927605	5.0581307560	36.2755613300	5.1438903250
5.0832955860	6.3215775120	-0.4737865052	5.0832955860	36.2779097100	5.1439311880
5.1084604160	6.2935535310	-0.4766798952	5.1084604160	36.2783772100	5.1460084140
5.1336252450	6.2453685100	-0.4744741089	5.1336252450	36.2800209000	5.1460422900
5.1587900750	6.2046541380	-0.4752505296	5.1587900750	36.2761791800	5.1469807000
5.1839549050	6.1796648210	-0.4746155650	5.1839549050	36.2777217400	5.1480024340
5.2091197340	6.1482503830	-0.4767503410	5.2091197340	36.2794314200	5.1493364560
5.2342845640	6.1134784450	-0.4731335522	5.2342845640	36.2813888600	5.1499040140
5.2594493940	6.0434655060	-0.4721359269	5.2594493940	36.2707448600	5.1482294190
5.2846142230	6.0332282970	-0.4735223007	5.2846142230	36.2647333600	5.1479509620
5.3097790530	5.9456937350	-0.4730693501	5.3097790530	36.2005086700	5.1446467540
5.3349438820	5.9147068900	-0.4752265248	5.3349438820	36.1772653400	5.1453493920
5.3601087120	5.8978899510	-0.4736343109	5.3601087120	36.1368041000	5.1464971160
5.3852735420	5.8924302010	-0.4742127701	5.3852735420	36.1337437300	5.1469561960
5.4104383710	5.8874251120	-0.4748343527	5.4104383710	36.1308781800	5.1470566090
5.4356032010	5.8830060250	-0.4742468830	5.4356032010	36.1257313700	5.1473777060
5.4607680310	5.8840671610	-0.4744834608	5.4607680310	36.1200246900	5.1480453270
5.4859328600	5.8437547750	-0.4764578042	5.4859328600	36.1224751100	5.1476730200
5.5110976900	5.7659823360	-0.4765051810	5.5110976900	36.1229161600	5.1483060200
5.5362625200	5.6870921140	-0.4749815441	5.5362625200	36.1326649100	5.1496391090
5.5614273490	5.6567742850	-0.4739741567	5.5614273490	36.1398903900	5.1502013810
5.5865921790	5.6717707920	-0.4762533216	5.5865921790	36.1388894100	5.1506610060
5.6117570080	5.6754451380	-0.4773123968	5.6117570080	36.1398589500	5.1508072430
5.6369218380	5.6764224860	-0.4783137194	5.6369218380	36.1402675400	5.1511118390
5.6620866680	5.6778476850	-0.4786979169	5.6620866680	36.1388196600	5.1509821550
5.6872514970	5.7083347390	-0.4817593942	5.6872514970	36.1410001000	5.1512173320
